article,title
"names , ages and hometowns of the ## italians who died in a bombing attack wednesday in the southern iraqi city of nasiriyah .",identities of the italian victims in iraq bombing with bc-eu-gen <unk>
law revision proposals to allow for direct transport links between taiwan and china failed to clear the legislative yuan again tuesday on the last day of the current session after `` pan-blue '' and `` pan-green '' lawmakers could not reach common ground on the issue despite last-minute negotiations and several rounds of conflict .,law revision on direct links thwarted for #rd time at legislature
"colombian defense minister rodrigo rivera said on friday that medical experts had identified the corpse of `` mono <unk> , '' military chief of the rebel revolutionary armed forces of colombia -lrb- farc -rrb- , killed during a raid .",colombian medical experts identify mono <unk> 's corpse
india 's victory over australia in adelaide was hailed tuesday by the captains of south africa and the west indies .,lara smith hail indian win over australia
kosovo 's prime minister hashim thaci said sunday he has called for an extraordinary session of the province 's parliament for the proclamation of independence .,kosovo pm calls for special session of parliament for independence declaration
a woman from south china 's guangxi zhuang autonomous region is recovering after her breathing stopped and had to be artificially maintained for ## days due to food poisoning .,s. china poisoned woman recovers after ## days on respirator
the mexican stock exchange closed lower thursday with the benchmark ipc index falling by ### .,mexican stocks close lower
during the ####s there was an astonishing but little-known episode in irish-american history involving a mysterious irishman named john riley and the st. patrick 's battalion .,the saga of the st. patrick 's battalion
"that will be two tickets for `` beauty and the beast '' and four for the matisse show , please .",matisse exhibit expected to draw well
a political impasse with ## provincial governors continued to vex efforts by president fernando de la rua to win over key allies thursday for a plan to restructure dlrs ### billion in debt and avoid default .,political feuding delays argentine president 's economic recovery
"china is launching a massive publicity campaign to popularize laws and regulations concerning the coal industry among its vast coal enterprises and workers nationwide , in a bid to ensure a sound development of the sector .",china launches publicity drive to popularize coal law
"trying to stave off a potential impasse in the scott peterson murder trial , a san mateo county superior court judge admonished the jury to set aside passion , prejudice and personal opinions while attempting to reach a verdict in the # #\/# - month-long case .",judge admonishes peterson jury
thirty-one hungarians who helped save jews during world war ii were awarded the medal of the righteous on tuesday by israel 's ambassador .,israel honors hungarians who saved jews during world war ii
"several salvadorian organizations and some hondurans on wednesday marched in san salvador , capital of el salvador , demanding the reinstatement of ousted honduran president manuel zelaya .",salvadorian groups march to support zelaya
"in an explosion of pent-up anger , justice clarence thomas on wednesday lashed out at his critics , both black and white , saying they were racists who have been unable to accept the notion that he is able to think for himself .",clarence thomas responds angrily to his critics
"gunmen from the rival hamas and fatah movements battled in gaza city for a third straight day , firing mortars and grenades in clashes that killed seven people in the increasingly bloody power struggle over the palestinian government .",hamas fatah gunmen exchange fire in gaza raising death toll to ##
"as moderate to heavy rains continue to fall across central mozambique in the last ## hours , the country 's largest river , the zambezi , has continued to rise along its entire length , from the zimbabwean border to the indian ocean .",flood threat in mozambique persists on zambezi river
the yankees planned for carl pavano and kei igawa to hold down spots in their rotation this season .,pavano visiting doctor ; igawa packs for class a
"over ### athletes from ## countries , along with ## cubans , are to participate in friendship horizons cup tennis tournament on june ##-## , according to organizers .",cuba to host international tennis event
hurricane igor is getting a little stronger in the open atlantic ocean .,hurricane igor getting stronger in open atlantic
"afghan interim prime minister hamid karzai was expected to ask for help in the reconstruction of his country during a two-day visit to india , which supported his cause during the years of taliban rule .",afghan leader to meet leaders in india which gave support during taliban years
hosts greece narrowly defeated canada ##-## in their opening world basketball championship match here on wednesday .,hosts greece edge canada in basketball worlds
"santos was stunned by last placed gremio prudent #-# on sunday in the ##st round of the brazilian championship , ruining their celebration of legendary pele 's ##th birthday .",gremio prudente shocks santos #-#
old-fashioned fall foliage tourism has taken a high-tech twist to appeal to a lucrative and largely untapped market : folks under age ## .,high-tech marketing seeks younger foliage fans
bundesbank council member hans-juergen koebnick said all countries launching europe 's single currency must agree on a european central bank president .,bundesbank 's koebnick says ecb president vote must be unanimous
peru 's president alberto fujimori on wednesday pardoned ### people imprisoned on charges of terrorism because they were convicted on insufficient evidence .,peru frees ### innocents in prison for terrorism
"a siemens share-holding computer company intends to build two computer factories in china , `` china electronics news '' reported .",siemens to build new computer factories in china
"turkey will not allow the cypriot government to deploy the russian-made s-### missiles on the divided island , turkish state minister sukru sina gurel said monday .",turkey reiterates opposition to cyprus missile plan
the newly-appointed chief of afghanistan 's independent election commission -lrb- iec -rrb- fazal ahmad <unk> on thursday called on afghan government and nato-led forces to ensure security for the upcoming parliamentary elections set for sept. ## and vowed to hold a free and fair election .,afghan election body 's chief calls on gov t nato to ensure security for elections
"the turkish prime minister accused the united states on wednesday of not living up to a pledge to help counter autonomy-seeking kurdish rebels , despite the appointment of a special envoy to address the threat guerrillas pose to turkey , a news report said .",turkish prime minister says u.s. not helping turkey counter kurdish rebels
two members of basque separatist group eta arrested while transporting half a tonne of explosives to madrid just prior to the march #### bombings monday received jail sentences of ## years each .,jail for eta members who wanted to sow panic in madrid
"evander holyfield 's comeback fight is n't likely to be an atlanta happening , but at least it 's close to happening .",<unk> in atlantic city likely
prices of ##-year treasury bonds moved higher and the yield dipped further below # percent thursday as investors moved money out of agency bonds into the safety of treasurys .,long-term bond yields dip further
china 's top leader emerged from four days of secret communist party meetings tuesday with renewed calls for a more harmonious society .,amid calls for harmony hu makes power play at meeting
alistair presnell shot a ##-under ## on sunday to match the pga tour of australasia record and win the victorian pga championship by a stroke .,presnell comes close to ## in australian event
"three-time french open champion gustavo kuerten of brazil upset second-seeded marat safin of russia #-# , #-# , #-# friday in the second round of the u.s. open .",kuerten upsets second-seeded safin in straight sets at u.s. open
"more than #,### lawyers , judges and justices in the asia-pacific region gathered here today to discuss challenges facing the judiciary sector in a changing asia .",law association for asia-pacific meets in manila
the european union 's head office backed away from a total catch ban for popular fish like cod and hake but proposed reinforcing checks on fishermen next year to reverse rapidly depleting stocks .,eu head office proposes more cuts in fish catches but stops short of cod ban
"the overnight dismantling of five inhabited jewish settlement outposts was postponed pending a supreme court ruling on appeals against the measure , military radio said wednesday .",israeli wildcat settlement dismantling delayed pending court ruling
"australian test player toutai kefu signed a two-year deal friday with the australian rugby union , ensuring he would be available for the world cup in japan in #### .",kefu re-signs with australian rugby union
"this year , instead of starting my christmas shopping after work on christmas eve , caught in a crush of other harried shoppers fighting the clock and each other to snatch up any old junk just to have something to hand over in ## hours , i booted up my computer in late october to see what the world of on-line shopping had to offer .",diary of an on-line shopping trip
"on the eve of the democratic national convention , president clinton acknowledged that `` there is some tension and it is fresh '' in his party , particularly over welfare , but he drew a sharp contrast with republicans , whom he accused of squelching dissent at their convention in san diego .",democrats hope to show that theirs is the bigger tent
"pain in the left arm forced second-seeded goran ivanisevic to withdraw from the dlrs ###,### romanian open tennis tournament before he could play his first-round match wednesday .",spaniards advance while ivanisevic pulls out with sore arm
"libyan leader moammar gadhafi was shocked to hear that afghanistan 's taliban militia had killed some iranian diplomats after he had intervened to save their lives , libya 's jana news agency reported sunday .",gadhafi tried to intervene for release of iranians
"the shanghai b-share index dipped #.## points or #.## percent to ##.## points monday , with turnover reaching ##.## million u.s. dollars .",shanghai b-share market down at monday close
tottenham continued its terrible start to the season with two players sent off in a #-# loss at stoke in the premier league on sunday and defender vedran <unk> hospitalized after a goalmouth collision .,ramos future in doubt after spurs lose at stoke
kenya 's national soccer team 's preparations for next month 's #### world cup\/african nations cup qualifier against guinea on wednesday received yet another blow after their training camp was deferred to next monday .,kenya calls off training before world cup qualifier
us secretary of state hillary clinton tuesday urged greater efforts from all sides to overcome differences and form an iraqi government four months after inconclusive elections .,us urges more effort to form iraq government
"spyker cars ceo victor muller told reporters tuesday his newly purchased swedish carmaker saab would need to learn to stand on its own feet , vowing to keep the `` iconic '' brand afloat amid a crisis in the car industry .",spyker ceo vows to maintain iconic brand saab
"remarks by canada 's spy chief that foreign powers , such as beijing , control some canadian politicians caused an uproar on thursday as china 's president hu jintao kicked off a state visit to canada .",<unk> blast spy chief 's comments
"after three unsuccessful tries for bail , yoko ono 's former driver hopes a fourth attempt will get him out of jail .",yoko ono s driver to try again for bail
"the interpublic group of cos. in new york , continuing a spate of major acquisitions , said thursday that it had agreed to buy draft direct worldwide in chicago , which until thursday had been _ for less than a year _ the largest independent worldwide shop specializing in direct marketing .",interpublic continues its spate of takeovers
"a u.s.-trained pakistani scientist punctuated the first day of her attempted murder trial tuesday by shouting that the prosecution 's first witness was lying , prompting her to be pulled from the courtroom .",reputed al-qaida supporter taken from court in nyc
"american qualifier chris woodruff moved into the <unk> by upsetting seventh-seeded briton tim henman at the champions cup tennis tournament in indian wells , united states , on friday .",woodruff stuns henman for semi-finals in champions cup
"taiwanese telephone fraud rings have moved their cross-border operations from taiwan and china to southeast asia since across-strait pact on crime-fighting and judicial collaboration took effect in april #### , a police source said sunday .",taiwanese fraud rings relocate operations to southeast asia
pakistan captain inzamam-ul-haq was banned for four one-day matches on thursday on charges stemming from ball-tampering allegations -- ruling him out of most of next month 's champions trophy .,inzamam banned for four matches ; speed out of champions trophy
barry bonds hit his ###th career home run and ellis burks homered in his ##th major league ballpark as the san francisco giants completed a three-game sweep of the philadelphia phillies with a ##-# victory wednesday night .,giants ## phillies #
"china 's periodical sector has undergone a drastic development and the total number of periodicals has reached #,### by the end of april , a senior official said here on monday .","nearly ##,### magazines get published in china"
the united nations security council congratulated on tuesday afghans on the smooth holding of the country 's first-ever presidential election and urged the afghan authorities to prepare `` without delay '' for an inclusive parliamentary poll slated for april .,un council praises afghan vote calls for inclusive parliamentary poll
"warplanes and artillery units destroyed key kurdish rebel positions in northern iraq -- including a communications center -- in a second day of raids on rebel positions , the military said sunday .",turkey s military targets kurdish rebel bases in strikes in northern iraq
"a senior saudi official on saturday urged all the saudi citizens to provide relief assistance to afghan refugees , kuwait 's official kuna news agency reported .",saudi arabia urges citizens to aid afghan refugees
"general john abizaid , commander of us forces in the middle east , said wednesday he plans to retire from the military in the first half of #### but brushed off suggestions he is leaving under pressure .",abizaid plans to retire in ####
"america 's four-time tour de france winner lance armstrong took the overall lead in the dauphine-libere here on wednesday after winning the third stage , a ##-kilometre time-trial from <unk> .",armstrong takes control after time-trial victory
"the london oil market friday was little impressed by a surprise agreement among three major world oil exporters to cut their crude output by ###,### barrels per day -lrb- bpd -rrb- from the <unk> world markets .",oil output cuts deal fails to impress london market
"indonesia will host a mitigation disaster training in #### in the frame of asean regional forum -lrb- arf -rrb- , a press statement from the indonesian foreign ministry said on friday .",indonesia to host asean disaster relief exercise ####
"nicole kidman is moving to spain for three months to film '' the others , '' a dark picture about a pious woman whose children ca n't be exposed to sunlight because they have a rare disease .",nicole kidman to do movie in spain
palestinian minister of economy alaa el-deen <unk> said on thursday that the cabinet does not oppose in principle bringing financial affairs of the palestinian national authority -lrb- pna -rrb- to management of international organizations .,pna agrees to bring financial affairs to management of world bodies
"the dollar , which has been gaining steadily since the start of the month , weakened slightly from #-week highs wednesday .",dollar rally pauses amid worry over gov t finances
the house of representatives ' committee on standards of official conduct voted on wednesday to begin an ethics investigation into the personal finances and fundraising of rep. charles b. rangel .,house ethics committee votes to begin an inquiry on rangel
"australia has persuaded the european union to water down a trade agreement , tearing up a proposed treaty that would have linked business with human rights , the foreign ministry said wednesday .",australia rejects treaty with e.u. that imposed human rights
the u.s. military on friday blamed al-qaida in iraq for a double suicide bombing that killed at least ## people and wounded ## during a wedding procession through a crowd of bystanders cheering the bride and groom in a town northeast of baghdad .,us military blames al-qaida for double suicide attack on wedding party in iraq
"eu finance ministers promised to `` go up a gear '' in efforts to open up europe 's fragmented markets , austrian finance minister karl-heinz grasser said at the close of a two-day meeting in vienna .",eu finance ministers promise to go up a gear to open europe up for business
"european union nations agreed monday to beef up maritime surveillance along europe 's coastlines , swedish defense minister sten <unk> said .",eu nations to tighten maritime surveillance cooperation
"hong kong stocks went down ##.## points , or #.## percent , to finish friday 's morning session at ##,###.## .",hk stocks lower at midday
"western pennsylvania has hosted seven u.s. opens at oakmont country club and five pga championships , but has never been home to a regular pga tour stop _ until now .",pennsylvania classic to move to mystic rock
marathon world record-holder paula radcliffe was given the new york road runners ' abebe bikila award on friday .,radcliffe receives ny road runners award
the international monetary fund on thursday said it was more than doubling kyrgyzstan 's financial assistance to help the central asian country cope with surging food and fuel prices .,imf boosts financial aid to kyrgyzstan for food fuel crisis
roque santa cruz will return to paraguay 's national team for friendlies against mexico and colombia later this month that are to serve as preparation for the copa america .,santa cruz leads paraguay roster for friendlies against mexico colombia
brett lee took five wickets as australia dismissed india for ### on the final ball of its rain-reduced ## overs in the opening match of the limited over tri-series at the gabba on sunday .,lee leads australia with #-## in rain-affected match
"chinese premier zhu rongji met with donald tsang yam-kuen , financial secretary of the hong kong special administrative region -lrb- sar -rrb- , at the great hall of the people here today .",premier meets with hksar financial secretary
the court of arbitration for sport on tuesday ordered the provisional reinstatement of the president of the european triathlon union .,sports court orders reinstatement of european triathlon president
"prosecutors charged six lithuanian fishermen thursday with smuggling tamil refugees into denmark , trying to stem a flow of immigrants through eastern europe .",six lithuanians charged with smuggling refugees
a stake has been driven into <unk> birch 's new york stage debut .,actress <unk> birch loses her off-broadway part
"the kenyan anti-riot police today dispersed a banned rally of opposition parties asking for constitutional reforms in downtown nairobi , causing hours of turmoil in which at least dozens of people were injured .",kenya 's opposition rally broken up causing riots
"the lebron james show will once again take to the road , with its next stop a weekend tournament in trenton .",with lebron james back in uniform team gets down to business
"solid economic growth and low inflation are set to continue in australia in the year started july # , suggesting little need for interest-rate adjustments , reserve bank of australia gov. bernie fraser said today .",australia 's fraser sees no need for early interest rate change
at least twenty two call girls or prostitutes were reported drowned overnight when they were trying to reach a cargo vessel anchored out in the sierra leone seas .,## call girls drowned in s. leone
"us president george w. bush on monday thanked greece for standing `` side by side '' with the united states in the war on terrorism , during a ceremony to celebrate greek independence .",bush thanks greece for contribution to anti-terror campaign
"an explosion ripped through a restaurant near an airport in the southern philippines on thursday , the military said .",explosion rocks restaurant near airport in southern philippines
"the first group of more than ### zimbabweans that had been deported from south africa for working in that country without work permits arrived at beitbridge in south zimbabwe on thursday , the herald newspaper reported here on friday .",### zimbabweans deported from south africa
haile gebrselassie says he will attempt to break the world half-marathon record next month in the arizona marathon .,gebrselassie will attempt half-marathon world record
"british brewing giant scottish and newcastle said tuesday that net profits dipped in the first half of #### , as beer sales were dampened by a wet start to summer in britain and france .",bad weather hits beer profits at scottish and newcastle
islamic foreign ministers on thursday met here to discuss the bosnian serbs ' decision to reject an international peace plan and instead submit the partition of bosnian to a referendum .,islamic group meets bosnian pm refuses comment on serb decision
"years before president barack obama tapped her to run the small business administration -lrb- sba -rrb- , karen mills was tasked with creating jobs at the brunswick naval air station near her maine home .",sba administrator has a big vision for small business
"being a workaholic is bad for the environment , suggests an analysis by the center for economic and policy research .",overwork costly to environment
"all ### mine workers at south africa 's <unk> gold mine near carletonville in the north west were safely brought to surface more than ## hours after they were trapped underground , a mine spokesman said on monday .",south africa 's <unk> miners safely rescued
the man in charge of a spiritual retreat in arizona that left two people dead after they were overcome in a sweat lodge said tuesday night he is facing a difficult time and `` being tested '' by the tragedy .,retreat leader speaks out over sweat lodge deaths
ken griffey jr. became the sixth player in major league baseball history to hit ### home runs on monday .,ken griffey jr. hits ###th home run in #st inning against marlins
"a former swedish videogame executive charged with stealing a rare enzo ferrari that he crashed in malibu and two other exotic cars by taking them out of britain was in negotiations to pay off british banks that financed their purchase before his recent arrest , court documents claim .",ferrari figure defends assets
"hong kong actor tony leung ka-fai was fined and lost his driver 's license after he pleaded guilty to drunk driving and assaulting a bus driver , his lawyer said thursday .",judge fines hong kong actor tong leung ka-fai and suspends license for drunk driving
hong kong fell more than two percent and shanghai tumbled almost five percent on monday after china at the weekend announced a fresh set of measures aimed at cooling the property market .,hong kong china shares tumble
"the ## elderly travelers from this town south of detroit were in the middle of a <unk> trip to new england , with visits to all the classic fall sights : the green mountains in vermont , lake winnipesaukee and mount washington in new hampshire , saratoga springs and lake george in new york state .",michigan town mourns loved ones lost in lake
"an international conference on eco-system conservation will be held in somerset west outside cape town , south africa on saturday .",s. africa to host un conference on wildlife
"four russian naval ships carrying ### kosovo peacekeepers set sail for greece from the black sea port of tuapse on saturday , news agencies reported .",russian troop ships leave for greece
"seven members of a russian cult that has been holed up in a cave for months awaiting the end of the world have emerged and are being treated by emergency workers , a regional official said friday .",# russian cult members leave cave after partial cave-in
this turned out to be a most eventful homecoming for indianapolis colts kicker cary blanchard .,colts kicker enjoys hero role
"the indonesian police said friday they will soon send dossier of muslim cleric abu bakar ba'asyir for his alleged involvement in the oct. ## , #### , bali bombings , which killed ### people and injured ### others .",indonesian police to send ba'asyir dossier to prosecutor office
"german chancellor angela merkel hit back monday at charges she was sitting on her hands while faced with a crippling recession , in a speech to rally her divided party ## months before a general election .",merkel moves to snuff out dissent over economic strategy
"vietnam 's attempt to enter the world trade organization has been held up over how the communist country will implement tariff reductions on certain goods and services , and whether it has amended legislation to fully comply with global commerce rules , officials said monday .",vietnam s wto accession talks slowed but entry still possible this year officials say
"chinese police detained a university professor after he helped organize a branch of an outlawed opposition party , a human rights group said monday .",chinese police detain political organizer
"after a six-year legal battle , lockheed martin corp. plans to settle a lawsuit filed by burbank residents who claimed that environmental contamination at the old skunk works plant caused health problems and property damage , officials said .",lockheed settles contamination lawsuit
"if public passion for the printed word has died , as some say , then a textbook case of resurrection is taking place .",textbook publishers see booming growth despite challenges
iranian supreme leader ayatollah ali khamenei on wednesday lashed out at `` enemies '' for attempting the life of a prominent reformist ally of the moderate president mohammad khatami .,iranian leader blames enemies for assassination attempt on reformist
"one dwarf planet received a new name on thursday from the international astronomical union , and another , pluto , has a new number .",dwarf planet cause of strife gains the perfect name
"swedish prime minister goran persson , who is visiting china for the first time , said today he was deeply impressed by china 's rapid economic growth , and that he believes the chinese people have the ability to solve any difficulties they encounter along the path of development .",chinese president meets with swedish prime minister
"miami after several years of political gains across latin america , the left-wing cause has suffered a series of electoral setbacks .",conservatives make gains in south america
"san francisco -- for the first time in ## years the oldest , largest and most detailed of the seven sisters -- known worldwide as the painted ladies and postcard row -- has gone on the real estate market .",largest of s.f. s painted ladies up for sale
"a top election official plans to take three-months ' leave to try ending a political standoff that has paralyzed bangladesh , an official said wednesday .",election chief plans to take leave as violent strike cripples bangladesh
"svetlana <unk> wants to free her little brother from an orphanage but there 's a big problem : she 's hiv-positive and this is russia , where discrimination against people with aids is rampant .",beauty queen 's woes reflect hiv stigma in russia
taiwan 's top envoy in hong kong on wednesday urged mainland china to agree to increased official exchanges between taiwan and hong kong .,roc envoy calls for increased official <unk> exchanges
us oil services giant halliburton said friday that an iraq firefighting contract to one of its subsidiaries was expected to be worth less than the seven billion dollars reported by the army .,halliburton says iraq contract less than reported # billion dollars
"<unk> bv , the netherlands ' largest nonfood retailer , named the head of wal-mart inc. 's british supermarket division as its new chief executive on friday .",dutch retailer <unk> names wal-mart executive as ceo
"ford motor co. shares slid in pre-market trade thursday after the troubled auto giant , in a revised earnings report , more than doubled its second-quarter loss because of higher-than-expected pension costs .",ford more than doubles quarterly loss to ### million dollars
russians mourned at religious services and soccer stadiums sunday after a deadly train wreck that authorities blamed on a terrorist bomb .,russians mourn victims of express train wreck
"french rock 'n' roll legend johnny hallyday has visited oscar-winning director roman polanski who is under house arrest in switzerland facing extradition on child sex offences , the singer 's entourage told afp on thursday .",johnny hallyday visits polanski in switzerland
"prime minister tony blair dismissed bad headlines about problems in his government , saying thursday that they did not reflect reality .",british prime minister defends government record says he is not worried about bad press
"in an effort to save jobs and soften the impact of budget cuts to classrooms , los angeles unified officials tuesday approved placing a new $ ### per parcel tax on the june ballot .",lausd puts parcel tax up for june vote
the u.s. dollar rose against the yen wednesday amid uncertainty about japan 's upcoming economic package and the ongoing crisis in iraq .,dollar stocks higher in early trading
"continental airlines on tuesday announced plans to begin direct flights between oslo and a new york area airport , a route that will be this nordic country 's only nonstop service across the atlantic .",continental airlines introduces <unk> flights
it 's hard to imagine that nori was once the ugly duckling of the sushi bar .,<unk> steps away from the sushi
world trade organisation chief pascal lamy said on wednesday he does not expect any breakthrough in talks to liberalise global commerce before the end of this year .,wto chief sees no breakthrough before year-end
"wall street brokerage merrill lynch &amp; co. reported a ## percent jump in its third-quarter earnings on tuesday , citing strong returns on its investments in both stocks and bonds .",u.s. brokerage merrill lynch reports ## percent increase in third-quarter profit
thai finance minister amnuay virawan awarded seven foreign banking licences wednesday to aid the country 's entry into the international banking business .,thailand awards seven foreign banking licences
"italy 's year-on-year inflation rate was up # percent in february , compared with #.# percent in january , the state statistical institute -lrb- istat -rrb- reported wednesday .",year-on-year inflation up # percent in february
"as a single twentysomething sharing a small manhattan apartment with girlfriends , denise sullivan <unk> was a typical young professional : she loved to entertain but was low on cash and had a kitchen barely big enough to breathe in .",the tiny kitchen that scored
"zydrunas ilgauskas and lebron james scored ## of cleveland 's ## points in the second half wednesday , and the cavaliers returned from the all-star break with a ###-## win over the chicago bulls .",ilgauskas and james lead cavaliers to ###-## win over bulls
"australia must increase foreign aid spending or in the future it will have to send troops to failing south pacific nations , the opposition leader warned tuesday .",lawmaker warns south pacific nations will fail without more australian aid
"kaing khek <unk> , the former chief of khmer rouge 's notorious s-## prison , has been admitted to phnom penh military hospital and will undergo surgery , his lawyer said wednesday .",former khmer rouge official to undergo surgery in cambodia
acting speaker of the palestinian legislative council -lrb- plc -rrb- hassan <unk> announced wednesday his decision to withdraw his candidacy in the jan. # presidential elections .,top palestinian legislator withdraws candidacy
"dr. marvin minsky , ## , a <unk> man who wears shirts mended together with masking tape , is toshiba professor of media arts and sciences , and professor of electrical engineering and computer sciences at the massachusetts institute of technology , and one of the world 's leading theorists of artificial intelligence .",finding ways for computer brains to think like humans
"hu <unk> , chairman of the <unk> electric engineering holdings ltd. who also chairs the liberal democratic federation of hong kong , said at a cppcc national committee full-member meeting this afternoon that increasing cooperation between hong kong and the interior areas is crucial to hong kong 's economic recovery .",cppcc member urges increased contact between hong kong and mainland
"for hamed , a forklift driver at a u.s. military base , life has become a series of disguises .",in life of lies iraqis conceal work for u.s. kareem hilmi qais mizher and johan spanner contributed reporting
"larry seabrook , a state senator from the bronx who had long planned to oppose rep. eliot engel , a fellow democrat , said sunday that he would not run for congress this year but would prepare for a congressional campaign in two years .",state senator withdraws bid for u.s. house
"in nearly a decade of u.s.-sponsored fumigation , planes have sprayed hundreds of thousands of gallons of herbicide on illicit drug crops in vast expanses of colombia 's highlands and rainforests .",colombia coca crops still thriving
"the deputy governor of osun state , southwest nigeria , has been removed from office by the state assembly following a corruption probe , rhythm fm radio reported on saturday .",nigerian state parliament sacks deputy governor
"john w. snow , chairman of the csx corp. , has emerged as president bush 's leading choice to replace paul h. o'neill as treasury secretary , people with ties to the administration said sunday night .",rail chief is seen as leading candidate for treasury job
share prices on the london stock exchange were higher at midday wednesday .,london share prices up at midday
"lab results confirm a deadly illness outbreak in southeastern congo as ebola fever , officials said monday .",congo confirms deadly illness outbreak as ebola
"bennett lebow and carl icahn began their proxy battle monday to force rjr nabisco holdings corp. to spin off immediately its food business from its tobacco operations , submitting the names of nine people they hope would replace the company 's current board .",# investors start proxy struggle at rjr nabisco
thai prime minister banharn silpa-archa has filed a lawsuit against the siam post over the daily 's allegations that his party had received bribery from a swedish submarine builder .,thai pm sues daily over bribery charge
a tearful mother who appeared before tv cameras across canada begging for the return of her missing daughter pleaded guilty friday to second-degree murder in her ##-year-old daughter 's death .,mother sentenced to life for murder of daughter
"president bill clinton will present a plan tuesday to balance the us budget in ## years , saying the world was looking to the united states for economic leadership , the white house said .",clinton to present balanced budget plan
david beckham scored once and assisted on another goal to lead the los angeles galaxy to a #-# victory over toronto fc on saturday night .,beckham leads galaxy past toronto fc #-#
"the philippine army chief hermogenes esperon said sunday the military is rushing the construction of a detention center in camp <unk> in tanay in rizal province , ## kilometers east to manila , where the government plans to hold suspected coup plotters , the local television tv patrol world reported .",philippine army builds new prison for suspected coup plotters
"german insurance giant allianz said thursday that cost-cutting and an improved operating performance , particularly in its banking unit dresdner bank , had enabled it to swing back to profit last year .",allianz swings back into profit in ####
"a us soldier died when his vehicle ran over a roadside bomb in mosul , the second american killed in the northern capital on wednesday , a military spokesman said .",second us soldier killed in mosul three more wounded
"the gate to the u.n. girls ' school here is plastered with posters hailing suicide bombers , and the u.n. compound down the street has graffiti on its outer wall signed by the militant group hamas warning that `` when they kill a martyr , we will kill ### jews .",death of u.n. worker reopens israeli allegations that u.n. agency indirectly complicit in terrorism
"unitedhealth group inc. , the united states ' second-largest health insurer , said thursday its third-quarter earnings rose almost ## percent on growth across its businesses .",unitedhealth #q profits up almost ## percent on growth across all its businesses
"switzerland sent a rescue team and specially trained dogs to iran sunday to help search for survivors of the devastating earthquake that left at least #,### people dead .",swiss send rescue team to earthquake
"unknown gunmen assassinated an iraqi journalist working for a local television channel in northern baghdad , an iraqi watchdog body said on saturday .",iraqi journalist killed in baghdad
"a u.n. envoy was briefing the united states , russia and key european allies friday on his proposal for the future of serbia 's independence-minded province of kosovo .",u.n. envoy to brief contact group allies on plan for kosovo s future
"canada on friday announced a quota of ###,### seals for this year 's hunt , an increase of ##,### animals from last year .",canada announces quota for seal hunt this year
"chancellor gerhard schroeder urged german lawmakers thursday to support sending up to #,### troops into the u.s. war on terrorism , insisting that germany must take on greater responsibility in the world and prove its solidarity as a nato partner .",schroeder coalition strained ahead of parliament vote on troops for u.s. anti-terror campaign
"ravens defensive tackle tony siragusa bruised his spinal cord sunday in baltimore 's game against tennessee , but returned to play after a quick visit to the hospital .",ravens tackle siragusa injured
