article,title
"north korea 's recent activity at a nuclear power facility amounts to `` nuclear brinkmanship , '' the director of a u.n. watchdog agency said thursday .",u.n. nuclear agency says north korean actions amount to nuclear brinkmanship
"the british government said wednesday that it would urge israel to continue investigations into the case of a british peace activist who died tuesday , months after being shot by israeli troops in the gaza strip last year .",britain urges israel to continue inquiry into shooting of activist
"`` oldest living confederate widow tells all , '' which opened to a barrage of mostly bad reviews on monday , closed tuesday after just one regular performance , one of the shortest broadway runs in recent history .",widow closes after one night
"to date the technology boom seems to have bypassed <unk> cp clare corp. of beverly , mass. , which lost $ #.# million after charges last year and has reported just break-even results lately .",clare chief sees profit just ahead
"a washington state man was charged with theft and burglary after police said they found ## pounds -lrb- ## kilos -rrb- of women 's panties , brassieres and other underwear at his home .",u.s. man held in theft of panties and bras after police find ## pounds of <unk>
us stocks struggled to hold opening gains thursday as investors mulled a report showing tame consumer-level inflation and looked ahead to next week 's federal reserve meeting on interest rates .,wall street struggles to hold early gains
"the hindu rightwing government of the western state of maharashtra on wednesday filed suit against the indian subsidiary of us firm enron corp. , whose #.# billion dollar power project was scrapped by the government in august .",indian state government files suit against enron subsidiary
"<unk> : the troubling story of the world 's most famous passion play , by james shapiro .",a troubling look at the world 's most famous passion play
"prescription drugs were found in anna nicole smith 's hotel room , but there were no pills in her stomach , and investigators said friday they are waiting for toxicological tests that would tell whether the former playboy playmate died of a drug overdose .",more tests needed in anna nicole smith death
"christian cevaer , surprise winner of the european open on sunday , withdrew from the wales open after ## holes on thursday because of exhaustion .",cevaer withdraws from wales open
"air search operations for survivors or bodies from the sinking of the car ferry estonia resumed at dawn thursday , but with little hope of finding any of the ### missing still alive .",<unk> search for survivors of ferry wreck resumes
"ten alleged drug traffickers were brought to a five-day trial in vietnam 's central province of ha tinh on tuesday , the vietnam news agency reported .",vietnam starts trial of ## drug traffickers
liverpool captain steven gerrard has arrived in court to face assault charges in connection with a nightclub brawl .,gerrard in court for hearing on assault charges
"turkmenistan 's president saparmurat niyazov , who survived an assassination attempt on monday , has built a personality cult around himself that rivals that of stalin or mao zedong .",turkmen leader 's personality cult rivals that of stalin mao zedong
"in a high-security jail here , five men -- members of the islamic militant group described by the united states and india as the organizers of the terrorist rampage in mumbai last year -- were brought before a makeshift court in pakistan 's first steps to bring them to justice .",terror ties run deep in pakistan case shows
